Territori,Tipus de territori,1r tr 2000,2n tr 2000,3r tr 2000,4t tr 2000,1r tr 2001,2n tr 2001,3r tr 2001,4t tr 2001,1r tr 2002,2n tr 2002,3r tr 2002,4t tr 2002,1r tr 2003,2n tr 2003,3r tr 2003,4t tr 2003,1r tr 2004,2n tr 2004,3r tr 2004,4t tr 2004,1r tr 2005,2n tr 2005,3r tr 2005,4t tr 2005,1r tr 2006,2n tr 2006,3r tr 2006,4t tr 2006,1r tr 2007,2n tr 2007,3r tr 2007,4t tr 2007,1r tr 2008,2n tr 2008,3r tr 2008,4t tr 2008,1r tr 2009,2n tr 2009,3r tr 2009,4t tr 2009,1r tr 2010,2n tr 2010,3r tr 2010,4t tr 2010,1r tr 2011,2n tr 2011,3r tr 2011,4t tr 2011,1r tr 2012,2n tr 2012,3r tr 2012,4t tr 2012,1r tr 2013,2n tr 2013,3r tr 2013,4t tr 2013,1r tr 2014,2n tr 2014,3r tr 2014,4t tr 2014,1r tr 2015,2n tr 2015,3r tr 2015,4t tr 2015,1r tr 2016,2n tr 2016,3r tr 2016,4t tr 2016,1r tr 2017,2n tr 2017,3r tr 2017,4t tr 2017,1r tr 2018,2n tr 2018,3r tr 2018,4t tr 2018,1r tr 2019,2n tr 2019,3r tr 2019,4t tr 2019,1r tr 2020,2n tr 2020,3r tr 2020,4t tr 2020,1r tr 2021,2n tr 2021,3r tr 2021,4t tr 2021,1r tr 2022,2n tr 2022,3r tr 2022,4t tr 2022,1r tr 2023,2n tr 2023,3r tr 2023,4t tr 2023,1r tr 2024
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,673.3733557,663.2252174,697.6919415,687.262298,679.0306158,704.4373184,739,726.9274,752.3677586,739.8586,799.3822632,806.4031172,847.0402116,867.9670465,906.7839485,877.0207884,883.7549343,893.4257426,934.8865939,930.0235968,936.3496964,942.8947009,979.6205123,979.9889564,952.6208431,943.4708696,972.9863196,902.1477955,887.1020658,887.4112644,912.3578993,924.3668357,984.3008245,985.9126098,1038.723608,1071.464856,1067.856156,1089.22434,1126.815521,1185.540833,1196.996687
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,921.4022756,948.9587097,934.5476364,975.957867,957.5543706,988.8863609,1052,1035.0742,1104.256491,1120.3988,1143.98114,1174.381523,1151.09246,1218.18157,1179.110536,1225.078376,1191.433107,1263.075128,1216.701357,1340.377226,1269.124894,1277.904297,1348.850504,1333.01094,1349.553103,1249.445945,1273.946563,1208.792505,1176.719086,1196.314443,1168.423356,1220.76507,1294.783476,1328.588426,1445.603844,1498.358567,1519.759811,1597.541752,1588.397481,1608.084713,1633.481326
l'Antiga Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827.8735795,821.8148649,869.7187196,848.5641686,859.6355952,906.1397923,926,941.5832,947.3020303,960.7969,986.2122553,1012.218853,1001.489753,1044.283425,1098.20546,1081.291269,1069.164982,1078.126712,1136.209804,1164.322518,1122.975912,1139.784134,1194.356011,1187.55086,1150.822747,1158.997143,1192.306605,1125.982125,1040.235895,1070.137213,1072.887229,1114.942161,1105.669796,1174.598741,1252.212605,1263.403184,1281.463048,1340.119899,1378.277192,1422.325614,1436.131645
la Nova Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,716.1309813,708.0041527,746.7832727,753.6138496,766.1762632,766.8543846,807,789.7628,811.6249254,842.5303,890.5430065,926.2090737,909.0781333,949.9636076,950.1528405,956.9967412,947.9226852,975.5285222,1003.885181,1017.559515,1008.488146,1032.854061,1081.396763,1083.674477,1043.826792,1029.536111,1067.35674,1001.446101,964.0275926,953.2994201,968.5781561,965.9178904,1009.317363,1012.177267,1113.932553,1145.774922,1131.202,1178.288701,1207.351541,1200.152193,1286.824712
Sant Antoni,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,693.4268531,718.0066794,713.8903096,720.139966,740.4144248,746.0011673,798,772.108,805.8933071,793.6355,883.3248029,882.4704167,876.9696471,887.7841411,922.4552762,905.8250735,899.9777403,907.4225199,970.2584478,960.2961345,986.2278808,985.176507,987.1640399,1018.394143,1010.513165,986.0827381,959.2551237,940.7119394,898.6782579,928.7977404,934.3365833,955.712234,999.9052676,1004.2698,1072.190975,1080.963333,1061.036418,1132.405063,1154.981047,1201.522963,1184.769137
Sants-Montjuïc,Districte,312.9871,344.3785,348.2472,343.5068,350.0388,370.0408,389.8774,408.0183,470.3183,420.3181,424.1564,432.9738,420.7214,438.2389,475.1679,477.8479,479.1555,480.6682,523.9994,509.4219,528.681,546.246,575.895,581.4522,609.2695,609.6163,627.8005,636.2352,641.59,654.71,681.26,700.45,701.6383,720.8167,751.7203,729.832,716.27,696.7,696.01,691.06,676.89,675.67,666.05,669.68,665.2877,670.2471,680.7019,669.7039,643.908,631.6539,629.8245,628.5383,597.0296,591.7483,591.8721,604.6827,587.0903,580.5766,604.7963,619.4195,597.3486,604.59,652.9295,638.8168,622.2453727,664.0082,706.5800267,715.0360139,719.8880271,754.4746948,791.3418005,778.9672226,785.0821454,786.603252,824.0582495,819.4728396,828.5550953,837.3548504,864.6936914,837.1730501,859.3350671,851.1558244,855.8609167,824.9829255,799.9893069,789.0046397,806.5762643,803.1255053,839.9645433,883.5513879,944.551167,988.319438,1015.88776,1025.862251,1027.577905,1066.742435,1026.45775
el Poble Sec - AEI Parc Montjuïc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,568.001,578.6532014,580.8877465,602.5481227,578.75639,598.4681395,631,638.4653,622.2412367,651.2089,696.7372014,706.1116897,715.7067669,756.8032203,759.8661465,760.2309226,783.5039944,788.2314211,822.0428771,813.7416533,815.8224713,823.4030696,865.8116,846.1778338,837.0070159,856.2380263,820.2440283,810.2434936,781.595086,773.7339535,787.0249734,777.9127711,846.2102174,879.2933582,888.3105017,913.6122924,887.1079839,955.2153712,930.5687755,988.0790526,1028.569776
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,381.0657143,-,411.3611,360.8814286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350.5198214,-,-,-,-,-,-,-,-,-,1407.9375,1380,1546.6,1388.035714,1463.333333,-,1603.181818,730.0269512
la Marina de Port,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553.5542169,454.4413274,542.8132673,574.4466316,492.4896,536.1788172,565,566.009,447.5664646,548.5123,577.4711111,613.1643617,689.1597802,634.2775962,711.9320225,728.0716949,751.6452679,719.3292437,755.1841228,778.515678,714.8997273,753.0926724,790.1087654,816.6666346,810.1139175,687.8440541,828.2444444,762.7498925,810.63096,772.3753271,698.4737168,691.8512598,728.6949573,638.7681481,785.9084615,738.1325806,850.1720652,872.6993333,867.3437143,996.7776,1010.338857
la Font de la Guatlla,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,631.5,624.8801923,630.886,679.57975,728.245,687.3255814,735,648.84,638.73,751.6928,764.383662,786.353913,806.3412903,785.0203571,817.6351163,827.3578082,842.3195876,834.6842105,871.4104598,810.2424419,857.553,854.1673846,881.517033,868.7576562,882.4464516,825.461,873.9315854,834.3069231,799.5137879,810.7583562,858.7442857,827.2129885,823.8710606,912.1320755,971.9441304,988.9016393,994.8734177,1053.207361,1049.6375,1123.878085,1081.208333
Hostafrancs,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,580.7076923,584.91264,605.5809016,603.86,614.1526471,601.5955435,632,640.8962,662.2775,673.2361,702.7198413,703.2753659,680.1703077,749.6084733,777.6351049,771.7824074,754.8347619,801.3692473,814.5544667,810.9950307,809.9591667,824.1583673,834.647037,854.4007407,865,867.8285937,842.0814286,842.9400752,778.3728931,772.808984,804.621338,809.5177397,835.6958654,826.1967857,910.505,935.6156911,945.5808943,957.3141121,1023.103448,957.4548889,982.4504167
la Bordeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,604.7355056,616.3961111,603.1585,621.6811828,621.7116883,607.6842647,661,657.941,645.1504651,672.125,674.8777586,730.4451471,739.348,760.976044,861.6869912,786.5298276,785.7919266,757.2578641,830.3245614,825.3553226,844.10775,859.5168539,832.9105495,869.9718947,869.9577778,893.645625,892.3308889,817.3802913,807.5518333,815.4128571,832.4922222,872.4655645,971.8015179,1025.004406,1136.714192,1245.016042,1393.875714,1335.89761,1335.752294,1191.276355,1196.459922
Sants - Badal,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,584.2718121,569.6820238,629.5758192,602.2790698,606.4844531,606.7820732,652,635.2602,629.6887218,702.8556,710.4515584,711.1006286,697.5773203,766.0514286,796.5008176,772.8633918,764.412356,755.2935385,786.80475,831.1945641,823.5011881,858.4255422,888.3018462,837.9951813,858.3393421,849.5417284,858.2144022,823.1911905,788.066971,778.0783582,805.8591304,800.0051185,805.4313187,848.5030822,930.1263158,933.2586082,926.0939437,949.997623,983.7732759,1074.56748,989.4405
Sants,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,605.2763608,618.8003019,624.7834218,647.1409677,616.0483772,627.8586008,701,658.4194,664.6608271,681.3866,740.499587,740.2799091,737.2692053,780.2733962,812.4838889,806.5605486,802.6374938,811.7393939,856.5722165,834.6394541,872.9939773,867.479256,884.2859128,884.8293384,891.3794461,874.2724691,883.1188323,850.2799441,829.1317424,815.4480475,836.717981,833.7119121,849.4415119,885.5500336,940.2783196,952.1908832,959.1204746,985.742669,1033.624236,1064.76448,1062.761309
Les Corts,Districte,527.6255,566.706,589.8479,596.0183,658.4824,533.51,629.9279,684.0264,630.0701,591.6774,583.9256,671.5496,599.1605,646.8586,724.4231,696.7629,651.2998,685.9427,723.8539,735.9867,743.2577,653.2798,794.1226,790.4583,765.9658,793.7357,866.5938,876.9742,957.98,924.22,991.03,943.92,958.4476,938.3701,1020.0922,1024.2444,911.84,956.4,920.76,942.92,878.87,916.56,926.58,907.83,887.1531,874.3652,895.1002,903.4492,878.2372,835.954,885.3792,868.7494,827.818,825.2648,826.7125,826.8924,808.6391,845.7945,864.3804,885.8841,862.3686,881.679,978.626,955.1428,923.3685598,971.1785,1007.843201,1019.664122,1005.336918,1043.363604,1089.05457,1060.762621,1095.783862,1046.447825,1142.158622,1062.781248,1111.203033,1131.549452,1179.693487,1200.672379,1105.120081,1117.433722,1143.244767,1088.795068,1027.36765,1032.343284,1080.251228,1071.325785,1081.792781,1133.732138,1255.390616,1259.232451,1190.228477,1272.824124,1363.334256,1376.217863,1388.189003
