Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,601,605,609,746,813,777,620,865,684,538,107
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,213,211,207,269,285,265,200,277,239,177,50
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,918,808,889,1061,1076,1085,886,1184,1048,841,190
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93,110,123,128,138,147,108,147,118,127,29
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,637,559,613,715,772,716,571,707,658,556,140
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,242,254,311,301,295,289,235,302,277,242,60
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,146,164,170,215,175,108,145,174,113,47
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,70,104,141,141,154,177,93,155,156,120,31
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,62,77,76,100,108,76,114,85,61,35
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,15,8,14,11,9,7,5,9,5
Horta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,444,427,505,582,651,629,429,637,588,494,120
Nou Barris,Districte,834,856,967,1171,1247,1505,1489,1535,1932,2298,2353,2609,2883,3127,3224,2724,2788,3146,3444,3219,2546,3160,3026,2391,655
Vilapicina i la Torre Llobeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,446,395,450,585,598,584,448,610,551,425,111
Porta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,521,490,489,557,663,539,405,550,531,407,105
el Turó de la Peira,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,259,300,349,380,400,300,395,348,275,78
Can Peguera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,11,18,14,7,7,6,5,5,2,-
la Guineueta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237,188,241,287,343,270,256,270,275,196,71
Canyelles,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,21,38,47,34,51,54,39,40,43,6
les Roquetes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,272,248,264,285,270,258,221,259,272,207,59
Verdun,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,232,236,232,241,292,287,217,234,272,214,46
la Prosperitat,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,491,463,473,487,562,555,440,531,481,398,97
la Trinitat Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,113,116,121,125,116,82,131,124,94,29
Torre Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,29,30,21,15,16,14,12,12,28
Ciutat Meridiana,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,115,122,127,142,126,92,115,104,113,24
Vallbona,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,12,16,16,7,11,9,7,11,5,1
Sant Andreu (Districte),-,835,1044,1119,1327,1410,1520,1654,1552,1729,2196,2460,2502,2743,3047,3038,2724,2445,2982,3285,2971,2453,3373,2927,2411,629
la Trinitat Vella,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,143,162,174,174,158,134,167,150,127,34
Baró de Viver,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,25,18,11,20,9,13,18,7,10,2
el Bon Pastor,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159,173,159,167,185,158,174,165,163,181,69
Sant Andreu (Barri),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1038,934,961,1126,1268,1149,923,1231,1104,910,237
la Sagrera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,618,577,535,669,708,700,491,822,721,551,148
el Congrés i els Indians,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284,240,237,309,367,328,264,399,310,246,53
Navas,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,435,449,373,526,563,469,454,571,472,386,86
Sant Martí,Districte,1311,1607,1680,1765,2086,2477,2545,2437,2872,3361,3798,3909,4296,4839,4928,4473,4510,5473,5969,5723,4727,6204,5603,4936,1052
el Camp de l'Arpa del Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1059,1020,1034,1239,1398,1302,1067,1432,1186,894,221
el Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581,553,525,672,720,648,559,735,583,474,127
el Parc i la Llacuna del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,269,309,368,409,435,305,439,426,305,68
la Vila Olímpica del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153,165,173,219,224,264,204,269,208,166,45
el Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,781,720,839,973,1072,1060,849,1155,966,800,164
Diagonal Mar i el Front Marítim del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,234,337,394,413,321,320,433,292,615,81
el Besòs i el Maresme,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,347,273,251,354,418,425,315,404,378,321,54
Provençals del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,305,304,362,427,446,418,354,451,430,301,87
Sant Martí de Provençals,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,362,349,377,454,486,467,424,507,558,402,109
la Verneda i la Pau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,317,328,303,373,383,383,330,379,576,658,96
