Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Distribucio_P80_20,Index_Gini,Import_Renda_Disponible,Import_Renda_Bruta,Import_Renda_Neta,Edat_Mitjana
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,3.9,38.5,13531.48,13422,10999,37.916719342604296
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,4.4,42.6,21478.54,22260,17003,37.916719342604296
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,3.1,35.9,14333.53,14041,11767,43.40148281285104
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,3.5,37.7,16160.95,15801,12998,43.40148281285104
2020,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,3.3,38.8,19831.72,20034,16057,43.40148281285104
2020,3,Sants-Montjuïc,13,la Marina de Port,26,2.1,24.8,16222.11,16063,13807,43.896944278010785
2020,3,Sants-Montjuïc,13,la Marina de Port,27,2.6,28.8,17361.24,17177,14238,43.896944278010785
2020,3,Sants-Montjuïc,13,la Marina de Port,28,3.4,34.1,19561.73,19770,15609,43.896944278010785
2020,3,Sants-Montjuïc,13,la Marina de Port,29,2.4,26.4,15253.1,14669,12679,43.896944278010785
2020,3,Sants-Montjuïc,13,la Marina de Port,30,2.5,28.6,17183.44,16716,14128,43.896944278010785
2020,3,Sants-Montjuïc,13,la Marina de Port,31,2.4,27.1,15347.46,15165,12905,43.44069353542312
2020,3,Sants-Montjuïc,13,la Marina de Port,32,2.8,31.5,13992.44,13746,11609,43.44069353542312
2020,3,Sants-Montjuïc,13,la Marina de Port,33,2.6,29.4,11963.4,11594,10092,43.44069353542312
2020,3,Sants-Montjuïc,13,la Marina de Port,34,2.8,29.5,15547.73,15457,12951,43.44069353542312
2020,3,Sants-Montjuïc,13,la Marina de Port,35,2.5,29.2,17142.6,17081,14261,44.14427209867315
2020,3,Sants-Montjuïc,13,la Marina de Port,36,2.8,29.8,18780.28,19010,15410,44.14427209867315
2020,3,Sants-Montjuïc,13,la Marina de Port,37,2.2,25.1,17737.84,17595,14502,44.14427209867315
2020,3,Sants-Montjuïc,13,la Marina de Port,38,2.9,29.5,11867.31,11580,10204,40.93160444571103
2020,3,Sants-Montjuïc,13,la Marina de Port,39,2.6,29.7,11600.87,11252,9827,40.93160444571103
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,40,2.6,30.7,21424.39,21980,17679,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,41,2.8,32.0,18212.25,18086,14845,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,42,3.5,33.6,17122.46,16974,14018,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,43,2.8,31.7,20291.96,20208,16454,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,44,3.2,33.3,16862.72,16874,13809,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,45,2.6,30.0,19468.67,19370,15778,45.609106694964304
2020,3,Sants-Montjuïc,14,la Font de la Guatlla,46,2.7,30.7,22498.11,23107,18633,45.609106694964304
2020,3,Sants-Montjuïc,15,Hostafrancs,47,3.2,33.6,17667.23,17583,14397,43.594370096908165
2020,3,Sants-Montjuïc,15,Hostafrancs,48,2.7,31.3,21225.37,21546,17424,43.594370096908165
2020,3,Sants-Montjuïc,15,Hostafrancs,49,3.6,35.8,19241.92,19318,15748,43.594370096908165
2020,3,Sants-Montjuïc,15,Hostafrancs,50,3.3,33.3,19522.96,19555,15788,43.594370096908165
2020,3,Sants-Montjuïc,15,Hostafrancs,51,3.5,36.9,15974.59,15940,12984,42.62845318158303
2020,3,Sants-Montjuïc,15,Hostafrancs,52,3.7,35.3,17549.78,17354,14086,42.62845318158303
2020,3,Sants-Montjuïc,15,Hostafrancs,53,3.4,35.4,16427.07,16373,13403,42.62845318158303
2020,3,Sants-Montjuïc,15,Hostafrancs,54,3.2,32.9,19893.2,20049,16406,42.62845318158303
2020,3,Sants-Montjuïc,15,Hostafrancs,55,3.1,34.2,18447.71,18689,15177,42.62845318158303
2020,3,Sants-Montjuïc,15,Hostafrancs,56,2.9,31.8,17158.11,17353,14352,42.62845318158303
2020,3,Sants-Montjuïc,16,la Bordeta,57,2.7,30.4,17839.66,17938,14863,46.123502567027955
2020,3,Sants-Montjuïc,16,la Bordeta,58,2.9,31.4,22982.98,23485,18324,46.123502567027955
2020,3,Sants-Montjuïc,16,la Bordeta,59,2.6,29.7,17305.54,17209,14276,46.123502567027955
2020,3,Sants-Montjuïc,16,la Bordeta,60,2.7,31.0,19956.42,20259,16421,46.123502567027955
2020,3,Sants-Montjuïc,16,la Bordeta,61,2.6,28.5,17447.9,17231,14356,46.123502567027955
2020,3,Sants-Montjuïc,16,la Bordeta,62,2.4,29.3,18386.7,18489,15144,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,63,3.1,30.2,17726.79,17494,14255,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,64,2.7,28.7,19279.57,19356,15844,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,65,2.5,28.6,19603.62,19618,16115,44.375209647791706
2020,3,Sants-Montjuïc,16,la Bordeta,66,2.6,29.2,17527.09,17506,14409,44.375209647791706
