Any,Districte,Barri,Preu_1Trim,Preu_2Trim,Preu_3Trim,Preu_4Trim,Preu_mitja,Recompte
2020,Nou Barris,Baró de Viver,584.1183333,,,,584.1183333,13.0
2020,Nou Barris,el Bon Pastor,725.8301887,759.5227778,737.952381,688.9474419,728.06319735,174.0
2020,Nou Barris,Sant Andreu (Barri),798.9246237,835.3394074,825.9047154,793.9880608,813.539201825,923.0
2020,Nou Barris,la Sagrera,777.2450746,809.5111538,795.0229008,766.560473,787.08490055,491.0
2020,Nou Barris,el Congrés i els Indians,815.4925373,788.197027,834.2328767,779.384023,804.3266160000001,264.0
2020,Nou Barris,Navas,872.9955085,898.4969697,858.4148361,846.2684459,869.04394005,454.0
2020,Sant Martí,el Camp de l'Arpa del Clot,887.3077113,853.8128488,894.1691034,817.6826791,863.24308565,1067.0
2020,Sant Martí,el Clot,865.7738462,890.8639773,869.0812081,870.7807831,874.124953675,559.0
2020,Sant Martí,el Parc i la Llacuna del Poblenou,969.0563529,975.71,1006.276125,952.2022449,975.8111807,305.0
2020,Sant Martí,la Vila Olímpica del Poblenou,1427.54717,1446.111111,1346.730159,1332.393115,1388.19538875,204.0
2020,Sant Martí,el Poblenou,1037.009623,987.0885217,1006.90166,974.6608846,1001.415172325,849.0
2020,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,1233.191461,840.8748,1074.38022,1392.636889,1135.2708425,320.0
2020,Sant Martí,el Besòs i el Maresme,749.7390361,696.9111765,801.505618,731.5830275,744.934714525,315.0
2020,Sant Martí,Provençals del Poblenou,1000.121279,1076.553571,956.7861682,859.8845714,973.3363973999999,354.0
2020,Sant Martí,Sant Martí de Provençals,863.0276316,854.2765957,822.3984375,807.4266667,836.7823328750001,424.0
2020,Sant Martí,la Verneda i la Pau,765.321519,767.46,782.4018447,765.9140816,770.274361325,330.0
