Any,Districte,Barri,Preu_1Trim,Preu_2Trim,Preu_3Trim,Preu_4Trim,Preu_mitja,Recompte
2021,Ciutat Vella,el Raval,759.1527886,774.2333267,770.5094572,772.8414719,769.1842611,2003.0
2021,Ciutat Vella,el Barri Gòtic,929.6205263,934.0675958,968.3907458,952.978,946.2642169750001,1050.0
2021,Ciutat Vella,la Barceloneta,808.9129592,814.8114953,825.9506383,877.9106349,831.896431925,362.0
2021,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",879.400355,862.0727826,889.1116517,922.8458824,888.357667925,1356.0
2021,Eixample,el Fort Pienc,917.9609687,907.0885676,970.2207732,976.8827336,943.038260775,1398.0
2021,Eixample,la Sagrada Família,887.1020658,887.4112644,912.3578993,924.3668357,902.8095163,2225.0
2021,Eixample,la Dreta de l'Eixample,1176.719086,1196.314443,1168.423356,1220.76507,1190.5554887500002,2313.0
2021,Eixample,l'Antiga Esquerra de l'Eixample,1040.235895,1070.137213,1072.887229,1114.942161,1074.5506245,2407.0
2021,Eixample,la Nova Esquerra de l'Eixample,964.0275926,953.2994201,968.5781561,965.9178904,962.9557648,2631.0
2021,Eixample,Sant Antoni,898.6782579,928.7977404,934.3365833,955.712234,929.3812039000001,1714.0
2021,Sants-Montjuïc,el Poble Sec - AEI Parc Montjuïc,781.595086,773.7339535,787.0249734,777.9127711,780.066696,1502.0
2021,Sants-Montjuïc,la Marina del Prat Vermell - AEI Zona Franca,,,,,,7.0
2021,Sants-Montjuïc,la Marina de Port,810.63096,772.3753271,698.4737168,691.8512598,743.332815925,472.0
2021,Sants-Montjuïc,la Font de la Guatlla,799.5137879,810.7583562,858.7442857,827.2129885,824.057354575,317.0
2021,Sants-Montjuïc,Hostafrancs,778.3728931,772.808984,804.621338,809.5177397,791.3302387000001,634.0
2021,Sants-Montjuïc,la Bordeta,807.5518333,815.4128571,832.4922222,872.4655645,831.980619275,480.0
2021,Sants-Montjuïc,Sants - Badal,788.066971,778.0783582,805.8591304,800.0051185,793.002394525,883.0
2021,Sants-Montjuïc,Sants,829.1317424,815.4480475,836.717981,833.7119121,828.7524207499999,1583.0
2021,Les Corts,les Corts,990.2626823,998.7958005,1017.024013,1052.832692,1014.7287969500001,1611.0
2021,Les Corts,la Maternitat i Sant Ramon,927.2615254,904.7700592,982.8984236,920.5588764,933.87222115,727.0
2021,Les Corts,Pedralbes,1598.208571,1680.295472,1816.527424,1679.340357,1693.592956,231.0
2021,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1531.6545,1074.722222,1009.545455,1214.47619,1207.59959175,70.0
2021,Sarrià-Sant Gervasi,Sarrià,1263.864175,1298.031759,1345.185932,1292.8725,1299.9885915,873.0
2021,Sarrià-Sant Gervasi,les Tres Torres,1577.994953,1429.03883,1566.501667,1597.425556,1542.7402514999999,399.0
2021,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,1264.805359,1226.09727,1159.636172,1219.560558,1217.52483975,1019.0
2021,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,1294.866968,1339.117462,1352.477703,1433.675658,1355.03444775,1997.0
2021,Sarrià-Sant Gervasi,el Putxet i el Farró,990.0526984,1024.425714,1004.691342,998.271301,1004.3602638499999,1464.0
2021,Gràcia,Vallcarca i els Penitents,958.9825806,924.4578082,960.9509938,920.1052229,941.1241513750001,619.0
2021,Gràcia,el Coll,745.4392308,796.7542593,755.5209677,754.4684127,763.045717625,231.0
2021,Gràcia,la Salut,859.1470297,859.1512264,934.6122115,899.882973,888.1983601499999,422.0
2021,Gràcia,la Vila de Gràcia,910.6128,880.9938573,891.6075505,920.9126743,901.031720525,2978.0
2021,Gràcia,el Camp d'en Grassot i Gràcia Nova,865.2631282,880.1430532,899.6904571,926.4823851,892.8947559000001,1445.0
2021,Horta-Guinardó,el Baix Guinardó,817.3333755,820.1615962,836.2889352,820.9757789,823.68992145,865.0
2021,Horta-Guinardó,Can Baró,741.1351515,773.5121538,753.6513333,757.7152113,756.5034624750001,277.0
2021,Horta-Guinardó,el Guinardó,791.7267823,818.1605034,823.6066881,802.602907,809.0242202000001,1184.0
2021,Horta-Guinardó,la Font d'en Fargues,795.0209091,817.6896552,817.2643243,835.3005405,816.3188572749999,147.0
2021,Horta-Guinardó,el Carmel,668.7672093,667.5668182,679.2798889,683.8196178,674.85838355,707.0
2021,Horta-Guinardó,la Teixonera,716.1292208,713.7782432,686.3212676,739.668125,713.9742141500001,302.0
2021,Horta-Guinardó,Sant Genís dels Agudells,700.5052273,653.5294118,785.624,675.7425,703.850284775,145.0
2021,Horta-Guinardó,Montbau,741.4268421,729.9015789,745.8660526,744.24,740.3586184000001,155.0
2021,Horta-Guinardó,la Vall d'Hebron,827.0446429,884.1553846,878.0833333,859.1493333,862.108173525,114.0
2021,Horta-Guinardó,la Clota,,,,,,7.0
2021,Horta-Guinardó,Horta,747.4025455,734.9025309,754.9053503,760.3678431,749.39456745,637.0
2021,Nou Barris,Vilapicina i la Torre Llobeta,736.4956552,754.3757764,747.4703378,803.6664744,760.50206095,610.0
2021,Nou Barris,Porta,707.1695556,698.5459286,712.8194964,740.4000735,714.733763525,550.0
